# stations et liens du métro parisien
# format : V num sommet lat long num_ligne nom_sommet
#          E num_sommet1 num_sommet1 temps_en_secondes
V 0000 884 337 12 Abbesses
V 0001 856 394 02 Alexandre_Dumas
V 0002 864 300 09 Alma_Marceau
V 0003 828 327 04 Alésia
V 0004 892 285 03 Anatole_France
V 0005 882 344 02 Anvers
V 0006 875 290 01 Argentine
V 0007 865 356 11 Arts_et_Métiers
V 0008 865 356 03 Arts_et_Métiers
V 0009 860 321 12 Assemblée_Nationale
V 0010 903 392 07 Aubervilliers-Pantin,_Quatre_Chemins000
V 0011 847 295 10 Avenue_Émile_Zola
V 0012 851 398 02 Avron
V 0013 883 349 02 Barbès_Rochechouart
V 0014 883 349 04 Barbès_Rochechouart
V 0015 936 359 13 Basilique_de_Saint-Denis
V 0016 852 368 01 Bastille
V 0017 852 368 05 Bastille
V 0018 852 368 08 Bastille
V 0019 841 400 06 Bel_Air
V 0020 872 376 11 Belleville
V 0021 872 376 02 Belleville
V 0022 840 379 14 Bercy
V 0023 840 379 06 Bercy
V 0024 829 376 14 Bibliothèque_François_Mitterand 
V 0025 831 237 09 Billancourt
V 0026 853 289 06 Bir-Hakeim
V 0027 883 333 02 Blanche
V 0028 906 449 05 Bobigny,_Pablo_Picasso
V 0029 895 425 05 Bobigny-Pantin,_Raymond_Queneau
V 0030 867 290 06 Boissière
V 0031 880 373 7b Bolivar
V 0032 870 348 09 Bonne_Nouvelle
V 0033 870 348 08 Bonne_Nouvelle
V 0034 879 388 7b Botzaris
V 0035 841 287 08 Boucicaut
V 0036 841 238 10 Boulogne,_Jean_Jaurès
V 0037 840 228 10 Boulogne,_Pont_de_Saint-Cloud,_Rond_Point_Rhin_et_Danube
V 0038 868 341 03 Bourse
V 0039 890 320 13 Brochant
V 0040 856 370 05 Bréguet-Sabin
V 0041 878 381 7b Buttes_Chaumont
V 0042 851 401 09 Buzenval
V 0043 845 429 01 Bérault
V 0044 875 344 07 Cadet
V 0045 847 302 06 Cambronne
V 0046 835 358 05 Campo-Formio
V 0047 846 351 10 Cardinal_Lemoine
V 0048 919 343 13 Carrefour_Pleyel
V 0049 840 351 07 Censier_Daubenton
V 0050 867 313 01 Champs_Élysées,_Clémenceau
